N	Fermi	Total
4	-4.957607	-324.701416
8	-4.848699	-324.667069
12	-4.360805	-324.663833
16	-4.465721	-324.668872
20	-4.370858	-324.668146
24	-4.361370	-324.667777
28	-4.369391	-324.668094
32	-4.366022	-324.668052
36	-4.361453	-324.668003
40	-4.366816	-324.667996
44	-4.364416	-324.668030
48	-4.361599	-324.668023
52	-4.365476	-324.667968
56	-4.363708	-324.668022
60	-4.363142	-324.668020
64	-4.364657	-324.667963
68	-4.363774	-324.668017
72	-4.364963	-324.668014
76	-4.364115	-324.667978
80	-4.364706	-324.668014
84	-4.365041	-324.668010
88	-4.363743	-324.667993
92	-4.365280	-324.668010
96	-4.364700	-324.668008
